# World Bank, indicator SP.POP.GROW (population growth, annual %), 1970-2023, 24 countries.
# Source: World Bank Open Data (https://data.worldbank.org), retrieved 2026-09-18, CC BY 4.0.
# Country names are shortened and comma-free on purpose: the inline CSV parser splits on ','.
country,year,growth
Bangladesh,1970,2.5887
Bangladesh,1971,1.7481
Bangladesh,1972,1.9234
Bangladesh,1973,2.8630
Bangladesh,1974,2.8312
Bangladesh,1975,2.6223
Bangladesh,1976,2.5377
Bangladesh,1977,2.4883
Bangladesh,1978,2.4403
Bangladesh,1979,2.4090
Bangladesh,1980,2.3931
Bangladesh,1981,2.5648
Bangladesh,1982,2.7431
Bangladesh,1983,2.6796
Bangladesh,1984,2.5679
Bangladesh,1985,2.4628
Bangladesh,1986,2.3479
Bangladesh,1987,2.2388
Bangladesh,1988,2.1273
Bangladesh,1989,2.0474
Bangladesh,1990,1.9903
Bangladesh,1991,1.9106
Bangladesh,1992,1.8849
Bangladesh,1993,1.8628
Bangladesh,1994,1.8542
Bangladesh,1995,1.8583
Bangladesh,1996,1.8281
Bangladesh,1997,1.8535
Bangladesh,1998,1.8880
Bangladesh,1999,1.8995
Bangladesh,2000,1.8273
Bangladesh,2001,1.6669
Bangladesh,2002,1.5434
Bangladesh,2003,1.4553
Bangladesh,2004,1.3615
Bangladesh,2005,1.2607
Bangladesh,2006,1.1612
Bangladesh,2007,1.0756
Bangladesh,2008,0.9984
Bangladesh,2009,0.9319
Bangladesh,2010,0.8765
Bangladesh,2011,0.9085
Bangladesh,2012,0.9584
Bangladesh,2013,0.9384
Bangladesh,2014,0.9112
Bangladesh,2015,0.8938
Bangladesh,2016,0.8924
Bangladesh,2017,0.8509
Bangladesh,2018,0.8210
Bangladesh,2019,0.8464
Bangladesh,2020,0.8363
Bangladesh,2021,0.8150
Bangladesh,2022,1.0242
Bangladesh,2023,1.2217
Brazil,1970,2.4732
Brazil,1971,2.4480
Brazil,1972,2.4334
Brazil,1973,2.4210
Brazil,1974,2.3967
Brazil,1975,2.3788
Brazil,1976,2.3816
Brazil,1977,2.3866
Brazil,1978,2.3861
Brazil,1979,2.3763
Brazil,1980,2.3597
Brazil,1981,2.3287
Brazil,1982,2.2791
Brazil,1983,2.2337
Brazil,1984,2.1863
Brazil,1985,2.1306
Brazil,1986,2.0601
Brazil,1987,1.9816
Brazil,1988,1.9103
Brazil,1989,1.8439
Brazil,1990,1.7861
Brazil,1991,1.7158
Brazil,1992,1.6672
Brazil,1993,1.6199
Brazil,1994,1.5633
Brazil,1995,1.5390
Brazil,1996,1.5141
Brazil,1997,1.4865
Brazil,1998,1.4877
Brazil,1999,1.4565
Brazil,2000,1.3752
Brazil,2001,1.3034
Brazil,2002,1.2414
Brazil,2003,1.1802
Brazil,2004,1.1299
Brazil,2005,1.0959
Brazil,2006,1.0583
Brazil,2007,1.0124
Brazil,2008,0.9580
Brazil,2009,0.8956
Brazil,2010,0.8409
Brazil,2011,0.8138
Brazil,2012,0.8116
Brazil,2013,0.8105
Brazil,2014,0.8063
Brazil,2015,0.7917
Brazil,2016,0.7620
Brazil,2017,0.7282
Brazil,2018,0.6834
Brazil,2019,0.6520
Brazil,2020,0.5794
Brazil,2021,0.4254
Brazil,2022,0.3602
Brazil,2023,0.3959
China,1970,2.7617
China,1971,2.7469
China,1972,2.4574
China,1973,2.2834
China,1974,2.0660
China,1975,1.7664
China,1976,1.5473
China,1977,1.3628
China,1978,1.3382
China,1979,1.3339
China,1980,1.2542
China,1981,1.2810
China,1982,1.4727
China,1983,1.4449
China,1984,1.3121
China,1985,1.3617
China,1986,1.4874
China,1987,1.6036
China,1988,1.6101
China,1989,1.5332
China,1990,1.4673
China,1991,1.3644
China,1992,1.2255
China,1993,1.1496
China,1994,1.1303
China,1995,1.0865
China,1996,1.0481
China,1997,1.0235
China,1998,0.9596
China,1999,0.8659
China,2000,0.7880
China,2001,0.7264
China,2002,0.6700
China,2003,0.6229
China,2004,0.5939
China,2005,0.5881
China,2006,0.5584
China,2007,0.5223
China,2008,0.5124
China,2009,0.4974
China,2010,0.4830
China,2011,0.5465
China,2012,0.6783
China,2013,0.6661
China,2014,0.6303
China,2015,0.5815
China,2016,0.5731
China,2017,0.6052
China,2018,0.4677
China,2019,0.3547
China,2020,0.2380
China,2021,0.0893
China,2022,-0.0131
China,2023,-0.1038
Egypt,1970,2.3742
Egypt,1971,2.3107
Egypt,1972,2.3015
Egypt,1973,2.3003
Egypt,1974,2.3116
Egypt,1975,2.3572
Egypt,1976,2.3395
Egypt,1977,2.3673
Egypt,1978,2.4545
Egypt,1979,2.5000
Egypt,1980,2.6089
Egypt,1981,2.6867
Egypt,1982,2.7535
Egypt,1983,2.9278
Egypt,1984,3.0114
Egypt,1985,2.9760
Egypt,1986,2.8588
Egypt,1987,2.7734
Egypt,1988,2.7803
Egypt,1989,2.7222
Egypt,1990,2.9296
Egypt,1991,2.7570
Egypt,1992,2.3895
Egypt,1993,2.3073
Egypt,1994,2.1540
Egypt,1995,2.1042
Egypt,1996,2.0734
Egypt,1997,2.0726
Egypt,1998,2.1848
Egypt,1999,2.2306
Egypt,2000,2.1609
Egypt,2001,2.1238
Egypt,2002,2.1037
Egypt,2003,2.0955
Egypt,2004,2.0644
Egypt,2005,2.0222
Egypt,2006,1.9529
Egypt,2007,1.8875
Egypt,2008,1.8674
Egypt,2009,1.8884
Egypt,2010,1.9180
Egypt,2011,2.1045
Egypt,2012,2.2448
Egypt,2013,2.3053
Egypt,2014,2.2764
Egypt,2015,2.0989
Egypt,2016,2.0347
Egypt,2017,1.9982
Egypt,2018,1.8971
Egypt,2019,1.7550
Egypt,2020,1.6250
Egypt,2021,1.4908
Egypt,2022,1.4861
Egypt,2023,1.6883
Ethiopia,1970,2.7562
Ethiopia,1971,2.7327
Ethiopia,1972,2.6720
Ethiopia,1973,2.6611
Ethiopia,1974,2.5866
Ethiopia,1975,2.4442
Ethiopia,1976,2.5249
Ethiopia,1977,1.9265
Ethiopia,1978,1.6960
Ethiopia,1979,1.4831
Ethiopia,1980,0.5530
Ethiopia,1981,2.5111
Ethiopia,1982,3.8815
Ethiopia,1983,2.7930
Ethiopia,1984,2.6020
Ethiopia,1985,2.8163
Ethiopia,1986,2.9565
Ethiopia,1987,3.4073
Ethiopia,1988,3.9048
Ethiopia,1989,3.8411
Ethiopia,1990,3.7015
Ethiopia,1991,4.3313
Ethiopia,1992,4.2076
Ethiopia,1993,3.5151
Ethiopia,1994,3.4812
Ethiopia,1995,3.4044
Ethiopia,1996,3.2998
Ethiopia,1997,3.2052
Ethiopia,1998,3.1405
Ethiopia,1999,3.1245
Ethiopia,2000,3.0682
Ethiopia,2001,3.0335
Ethiopia,2002,3.0440
Ethiopia,2003,3.0210
Ethiopia,2004,2.9947
Ethiopia,2005,2.9660
Ethiopia,2006,2.9373
Ethiopia,2007,2.9302
Ethiopia,2008,2.8944
Ethiopia,2009,2.8397
Ethiopia,2010,2.8352
Ethiopia,2011,2.8435
Ethiopia,2012,2.8039
Ethiopia,2013,2.7185
Ethiopia,2014,2.6830
Ethiopia,2015,2.6848
Ethiopia,2016,2.7079
Ethiopia,2017,2.7252
Ethiopia,2018,2.6968
Ethiopia,2019,2.6912
Ethiopia,2020,2.7108
Ethiopia,2021,2.6725
Ethiopia,2022,2.6227
Ethiopia,2023,2.6036
France,1970,0.9101
France,1971,0.9423
France,1972,0.8777
France,1973,0.8083
France,1974,0.6616
France,1975,0.4757
France,1976,0.4241
France,1977,0.4674
France,1978,0.4533
France,1979,0.4481
France,1980,0.5339
